id,BIO_anno,class
0,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O,0
1,O O O O O O O O O B-BANK I-BANK O O O O O O O,0
2,O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O,0
3,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O,0
4,O O O O O O B-BANK I-BANK O O O O,0
5,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,0
6,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,0
7,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,0
8,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,0
9,O O O O O O O O O O B-BANK I-BANK O,0
10,B-COMMENTS_N I-COMMENTS_N O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
11,O O O O O O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT O O O,0
12,O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,0
13,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O O,0
14,O O B-BANK I-BANK O O O O O,0
15,O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,0
16,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
17,O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O O,0
18,O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
19,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O,0
20,B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT O O O O O O O O O O O O O O O,0
21,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O,0
22,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O,0
